StockCode,AvgDailyDemand,StdDailyDemand,MaxDailyDemand,TotalDemand,AvgDailyRev,TotalRevenue,DaysActive,Description,Price,SafetyStock,ReorderPoint,AnnualDemand,UnitHoldingCost,EOQ,ReorderFrequency,StockStatus
16243B,35.333333333333336,83.1232017349348,205,212,73.62833333333333,441.77,6,BROWN COZY SQUARE PHOTO ALBUM,6.04,363.0,610.0,12897.0,1.2080000000000002,1033.0,29.0,Fast Mover
16244A,7.75,19.505294710389034,87,186,19.975416666666668,479.41,24,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,4.3,85.0,139.0,2829.0,0.86,574.0,74.0,Medium Mover
16244B,13.26923076923077,48.52756552089354,247,345,29.423846153846153,765.02,26,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,4.3,212.0,305.0,4843.0,0.86,750.0,57.0,Medium Mover
16245A,1.8333333333333333,1.3291601358251257,4,11,2.2916666666666665,13.75,6,PINK MINI STATIONERY SET W CASE,1.25,6.0,19.0,669.0,0.25,517.0,282.0,Slow Mover
16248B,7.363636363636363,13.836710066144533,48,81,9.204545454545455,101.25,11,BLUE HOLE PUNCH,1.25,60.0,112.0,2688.0,0.25,1037.0,141.0,Medium Mover
16256B,15.411764705882353,16.85610697183633,72,524,6.833823529411765,232.35,34,FLOWER PENCIL/RUBBER+5 MINI PENCILS,0.83,74.0,182.0,5625.0,0.166,1841.0,119.0,Medium Mover
16256C,16.9,14.60175027560433,48,169,7.098000000000001,70.98,10,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.42,64.0,182.0,6168.0,0.084,2710.0,160.0,Medium Mover
16258A,12.218390804597702,23.11720656223076,180,1063,4.321034482758621,375.93,87,SWIRLY CIRCULAR RUBBERS IN BAG,0.19,101.0,187.0,4460.0,0.038000000000000006,3426.0,280.0,Medium Mover
16258B,101.6,161.73517448800885,526,1016,22.106,221.06,10,DAISY ERASERS IN BAG,0.42,706.0,1417.0,37084.0,0.084,6644.0,65.0,High Velocity
17007B,5.666666666666667,5.08592829940284,12,34,11.9,71.4,6,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,22.0,62.0,2068.0,0.42000000000000004,702.0,124.0,Medium Mover
17011A,21.75,37.336613762802955,97,261,14.963333333333333,179.56,12,ORIGAMI VANILLA INCENSE+FLOWER ,4.3,163.0,315.0,7939.0,0.86,961.0,44.0,Fast Mover
17011B,9.5,9.192388155425117,16,19,5.550000000000001,11.100000000000001,2,ORIGAMI JASMINE INCENSE+FLOWER ,2.1,40.0,106.0,3468.0,0.42000000000000004,909.0,96.0,Medium Mover
17011C,167.5,235.46655813512032,334,335,110.7,221.4,2,ORIGAMI LAVENDER INCENSE+FLOWER,4.3,1028.0,2200.0,61138.0,0.86,2666.0,16.0,High Velocity
17011D,52.25,93.40012491069449,192,209,33.925,135.7,4,ORIGAMI ROSE INCENSE+FLOWER,4.3,408.0,774.0,19071.0,0.86,1489.0,28.0,High Velocity
17011E,124.0,0.0,124,124,80.60000000000001,80.60000000000001,1,ORIGAMI OPIUM SCENT INCENSE+FLOWER,0.65,0.0,868.0,45260.0,0.13,5900.0,48.0,High Velocity
17011F,19.25,42.53156722396103,192,385,16.81,336.2,20,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.65,186.0,321.0,7026.0,0.13,2325.0,121.0,Medium Mover
17012A,8.853658536585366,24.402045022183685,192,726,9.831219512195121,806.16,82,ORIGAMI VANILLA INCENSE/CANDLE SET ,5.17,107.0,169.0,3232.0,1.034,559.0,63.0,Medium Mover
17012B,6.554545454545455,14.48414911134121,97,721,7.88590909090909,867.4499999999999,110,ORIGAMI JASMINE INCENSE/CANDLE SET,5.17,63.0,109.0,2392.0,1.034,481.0,73.0,Medium Mover
17012C,9.010526315789473,29.290363943331446,192,856,10.00421052631579,950.4,95,ORIGAMI LAVENDER INCENSE/CANDL SET ,0.85,128.0,191.0,3289.0,0.17,1391.0,154.0,Medium Mover
17012D,5.531914893617022,8.06252732283052,30,520,7.007659574468085,658.72,94,ORIGAMI ROSE INCENSE/CANDLE SET ,5.06,35.0,74.0,2019.0,1.012,447.0,81.0,Medium Mover
17012E,10.52,38.220980276980505,192,263,11.871599999999999,296.78999999999996,25,ORIGAMI OPIUM INCENSE/CANDLE SET ,0.85,167.0,241.0,3840.0,0.17,1503.0,143.0,Medium Mover
17012F,6.894117647058824,13.106726307884966,96,586,8.00764705882353,680.65,85,ORIGAMI SANDLEWOOD INCENSE/CAND SET,0.85,57.0,105.0,2516.0,0.17,1217.0,177.0,Medium Mover
17013B,85.33333333333333,73.07758434248723,130,256,73.67666666666666,221.03,3,ORIGAMI JASMINE INCENSE IN TUBE,3.43,319.0,916.0,31147.0,0.686,2131.0,25.0,High Velocity
17013C,106.5,14.849242404917497,117,213,44.730000000000004,89.46000000000001,2,ORIGAMI LAVENDER INCENSE IN TUBE,0.42,65.0,810.0,38872.0,0.084,6803.0,64.0,High Velocity
17013D,34.45161290322581,49.57609552306261,192,1068,18.46451612903226,572.4,31,ORIGAMI ROSE INCENSE IN TUBE,3.43,216.0,457.0,12575.0,0.686,1354.0,39.0,Fast Mover
17013F,12.4,24.388521890430344,56,62,5.34,26.7,5,ORIGAMI SANDLEWOOD INCENSE IN TUBE,1.65,106.0,193.0,4526.0,0.33,1171.0,94.0,Medium Mover
17014A,18.4,31.027177027337085,96,276,11.342,170.13,15,ORIGAMI VANILLA INCENSE CONES,3.43,135.0,264.0,6716.0,0.686,989.0,54.0,Medium Mover
17014C,48.5,67.17514421272202,96,97,21.875,43.75,2,ORIGAMI LAVENDER INCENSE CONES,0.42,293.0,632.0,17702.0,0.084,4591.0,95.0,Fast Mover
17014D,59.875,86.85363303528858,192,479,25.544999999999998,204.35999999999999,8,ORIGAMI ROSE INCENSE CONES,3.36,379.0,798.0,21854.0,0.672,1803.0,30.0,High Velocity
17014E,15.833333333333334,35.84643171456075,89,95,6.099999999999999,36.599999999999994,6,ORIGAMI OPIUM INCENSE CONES,1.65,156.0,267.0,5779.0,0.33,1323.0,84.0,Medium Mover
17014F,15.25,27.83732506306356,57,61,5.924999999999999,23.699999999999996,4,ORIGAMI SANDLEWOOD INCENSE CONES,1.65,122.0,229.0,5566.0,0.33,1299.0,85.0,Medium Mover
17027A,114.0,42.42640687119285,144,228,42.42,84.84,2,INCENSE BAZAAR CANNABIS,0.42,185.0,983.0,41610.0,0.084,7038.0,62.0,High Velocity
17028J,6.0,0.0,6,6,2.52,2.52,1,INCENSE BAZAAR PEACH,0.42,0.0,42.0,2190.0,0.084,1615.0,269.0,Medium Mover
17084A,24.555555555555557,8.36816250982554,50,442,5.156666666666666,92.82,18,TRANQUILITY MASALA INCENSE,0.21,37.0,209.0,8963.0,0.042,4620.0,188.0,Fast Mover
17084G,25.0,0.0,25,50,5.25,10.5,2,MOON INCENSE,0.21,0.0,175.0,9125.0,0.042,4661.0,186.0,Fast Mover
17084J,22.8,10.551128650029515,50,456,4.788,95.76,20,LOVE POTION MASALA INCENSE,0.21,46.0,206.0,8322.0,0.042,4451.0,195.0,Fast Mover
17084N,17.743589743589745,28.414642248801552,250,2768,4.104230769230769,640.26,156,FAIRY DREAMS INCENSE ,0.21,124.0,248.0,6476.0,0.042,3927.0,221.0,Medium Mover
17084P,15.714285714285714,27.031301193979385,200,990,3.5357142857142856,222.75,63,DRAGONS BLOOD INCENSE,0.21,118.0,228.0,5736.0,0.042,3696.0,235.0,Medium Mover
17084R,103.36065573770492,50.52261301862275,288,6305,20.938524590163933,1277.25,61,ASSORTED INCENSE PACK,0.21,221.0,945.0,37727.0,0.042,9478.0,92.0,High Velocity
17090A,6.653846153846154,9.099196921453267,36,173,7.025,182.65,26,LAVENDER INCENSE 40 CONES IN TIN,1.25,40.0,87.0,2429.0,0.25,986.0,148.0,Medium Mover
17090D,3.142857142857143,2.889499325005345,12,88,3.757142857142857,105.2,28,VANILLA INCENSE 40 CONES IN TIN,1.25,13.0,35.0,1147.0,0.25,677.0,215.0,Slow Mover
17091A,21.49484536082474,40.63996486202041,252,2085,13.256597938144331,1285.89,97,LAVENDER INCENSE IN TIN,1.25,177.0,327.0,7846.0,0.25,1772.0,82.0,Fast Mover
17091B,6.133333333333334,9.223487804118745,42,276,7.0440000000000005,316.98,45,JASMINE TEA INCENSE IN TIN,1.25,40.0,83.0,2239.0,0.25,946.0,154.0,Medium Mover
17091F,2.7142857142857144,1.6035674514745464,6,19,3.9585714285714286,27.71,7,SANDALWOOD INCENSE IN TIN,1.25,7.0,26.0,991.0,0.25,630.0,232.0,Slow Mover
17091J,27.52777777777778,42.05307077325936,288,3964,15.307986111111111,2204.35,144,VANILLA INCENSE IN TIN,1.25,184.0,377.0,10048.0,0.25,2005.0,73.0,Fast Mover
17107D,4.144736842105263,2.5907731014424815,12,315,10.569078947368421,803.25,76,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,11.0,40.0,1513.0,0.51,545.0,131.0,Slow Mover
17108D,16.136363636363637,9.612964730461195,48,355,6.777272727272727,149.1,22,FLOWER FAIRY SUMMER BOUQUET SACHET,0.42,42.0,155.0,5890.0,0.084,2648.0,164.0,Medium Mover
17109A,54.53846153846154,85.78618321600064,300,709,25.662307692307692,333.61,13,FLOWER FAIRY INCENSE LILY,1.69,374.0,756.0,19907.0,0.338,2427.0,45.0,High Velocity
17109B,46.714285714285715,81.02936653928774,288,654,22.367142857142856,313.14,14,FLOWER FAIRY INCENSE LAVENDER,1.69,354.0,681.0,17051.0,0.338,2246.0,48.0,Fast Mover
17109C,54.90909090909091,89.82477892592283,289,604,25.74818181818182,283.23,11,FLOWER FAIRY INCENSE ROSE,1.69,392.0,776.0,20042.0,0.338,2435.0,44.0,High Velocity
17109D,34.916666666666664,78.3130622200774,360,1257,16.619722222222222,598.3100000000001,36,FLOWER FAIRY INCENSE BOUQUET,1.69,342.0,586.0,12745.0,0.338,1942.0,56.0,Fast Mover
17129C,7.818181818181818,21.292337503516055,72,86,5.2709090909090905,57.98,11,SKY BLUE COLOUR GLASS GEMS IN BAG,0.85,93.0,148.0,2854.0,0.17,1296.0,166.0,Medium Mover
17129D,37.5,69.87809582309801,303,1125,45.03933333333334,1351.18,30,CLEAR COLOUR GLASS GEMS IN BAG,1.7,305.0,568.0,13688.0,0.34,2006.0,53.0,Fast Mover
17129F,11.969696969696969,16.453004734484455,75,1580,12.761969696969697,1684.58,132,DEEP BLUE GLASS GEMS IN BAG,1.7,72.0,156.0,4369.0,0.34,1134.0,95.0,Medium Mover
17136A,22.515151515151516,19.225830951029806,96,743,1.872121212121212,61.78,33,BLUE STONES ON WIRE FOR CANDLE,0.08,84.0,242.0,8218.0,0.016,7167.0,318.0,Fast Mover
17164B,24.17910447761194,43.2368127988647,288,1620,9.650149253731342,646.56,67,ASS COL SMALL SAND GECKO P'WEIGHT,0.42,189.0,358.0,8825.0,0.084,3241.0,134.0,Fast Mover
17164D,50.0,86.32707360013795,325,1150,19.434782608695652,447.0,23,ASS COL SMALL SAND FROG P'WEIGHT,0.42,377.0,727.0,18250.0,0.084,4661.0,93.0,Fast Mover
17165B,17.23404255319149,44.32401094605469,301,810,15.9931914893617,751.68,47,ASS COL LARGE SAND GECKO P'WEIGHT,0.85,193.0,314.0,6290.0,0.17,1924.0,112.0,Medium Mover
17165D,10.529411764705882,17.453110391428282,116,716,10.034117647058824,682.32,68,ASS COL LARGE SAND FROG P'WEIGHT,0.85,76.0,150.0,3843.0,0.17,1504.0,143.0,Medium Mover
17191A,2.75,1.4847711791873703,6,33,10.3125,123.75,12,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,6.0,25.0,1004.0,0.75,366.0,133.0,Slow Mover
18094C,5.154761904761905,5.064628217230978,24,433,7.150714285714285,600.66,84,WHITE/BLUE RECT CERAMIC OIL BURNER,2.57,22.0,58.0,1881.0,0.514,605.0,117.0,Medium Mover
18096C,6.882352941176471,10.862103577007865,48,117,17.570588235294117,298.7,17,WHITE ROUND PORCELAIN TLIGHT HOLDER,2.55,47.0,95.0,2512.0,0.51,702.0,102.0,Medium Mover
18096c,2.6666666666666665,1.1547005383792515,4,8,13.713333333333333,41.14,3,WHITE ROUND PORCELAIN TLIGHT HOLDER,5.17,5.0,24.0,973.0,1.034,307.0,115.0,Slow Mover
18097A,1.5454545454545454,0.8201995322647244,3,17,3.9409090909090905,43.349999999999994,11,PINK TALL PORCELAIN T-LIGHT HOLDER ,2.55,4.0,15.0,564.0,0.51,333.0,215.0,Slow Mover
18097B,2.3333333333333335,1.1547005383792515,3,7,5.949999999999999,17.849999999999998,3,BLUE TALL PORCELAIN T-LIGHT HOLDER,2.55,5.0,21.0,852.0,0.51,409.0,175.0,Slow Mover
18097C,10.882716049382717,29.42014896712904,294,1763,24.227901234567902,3924.92,162,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.55,128.0,204.0,3972.0,0.51,883.0,81.0,Medium Mover
18098A,1.0,0.0,1,2,2.95,5.9,2,PINK PORCELAIN B'FLY OIL BURNER,2.95,0.0,7.0,365.0,0.5900000000000001,249.0,249.0,Slow Mover
18098B,1.0,0.0,1,3,2.9500000000000006,8.850000000000001,3,BLUE PORCELAIN B'FLY OIL BURNER,2.95,0.0,7.0,365.0,0.5900000000000001,249.0,249.0,Slow Mover
18098C,7.069364161849711,11.078254320036425,99,1223,18.677052023121387,3231.13,173,PORCELAIN BUTTERFLY OIL BURNER,2.95,48.0,97.0,2580.0,0.5900000000000001,661.0,94.0,Medium Mover
18098c,6.488888888888889,4.8129664931979805,21,292,32.88022222222222,1479.61,45,PORCELAIN BUTTERFLY OIL BURNER,5.17,21.0,66.0,2368.0,1.034,479.0,74.0,Medium Mover
30086C,1.0,0.0,1,1,1.7,1.7,1,ASSORTED FRUIT STRAWS,1.7,0.0,7.0,365.0,0.34,328.0,328.0,Slow Mover
35001B,2.8333333333333335,1.9407902170679516,6,17,9.888333333333334,59.330000000000005,6,HAND OPEN SHAPE BLACK,3.49,8.0,28.0,1034.0,0.6980000000000001,385.0,136.0,Slow Mover
35001G,8.313953488372093,17.02473054319508,110,715,26.27290697674419,2259.4700000000003,86,HAND OPEN SHAPE GOLD,4.25,74.0,132.0,3035.0,0.8500000000000001,598.0,72.0,Medium Mover
35001P,1.0,0.0,1,2,3.49,6.98,2,HAND OPEN SHAPE PINK,3.49,0.0,7.0,365.0,0.6980000000000001,229.0,229.0,Slow Mover
35001W,6.54074074074074,15.664754126230905,92,883,20.790296296296297,2806.69,135,HAND OPEN SHAPE DECO.WHITE,2.95,68.0,114.0,2387.0,0.5900000000000001,636.0,97.0,Medium Mover
35004B,7.297029702970297,11.244496324918396,97,1474,33.71113861386139,6809.65,202,SET OF 3 BLACK FLYING DUCKS,4.65,49.0,100.0,2663.0,0.9300000000000002,535.0,73.0,Medium Mover
35004C,14.316037735849056,25.03247421388288,174,3035,74.87915094339623,15874.380000000001,212,SET OF 3 COLOURED  FLYING DUCKS,4.65,109.0,209.0,5225.0,0.9300000000000002,750.0,52.0,Medium Mover
35004G,4.986111111111111,7.278161537624879,48,359,19.715416666666666,1419.51,72,SET OF 3 GOLD FLYING DUCKS,13.0,32.0,67.0,1820.0,2.6,265.0,53.0,Slow Mover
35004P,4.0,3.93042947552414,13,120,21.299,638.97,30,SET OF 3 PINK FLYING DUCKS,5.45,17.0,45.0,1460.0,1.09,366.0,92.0,Slow Mover
35004S,11.153846153846153,8.687597997971531,26,145,38.87692307692308,505.4,13,SET OF 3 SILVER FLYING DUCKS,13.0,38.0,116.0,4071.0,2.6,396.0,36.0,Medium Mover
35004c,1.6875,1.138346754435279,4,27,21.4825,343.72,16,SET OF 3 COLOURED  FLYING DUCKS,13.0,5.0,17.0,616.0,2.6,154.0,91.0,Slow Mover
35004p,1.0,0.0,1,1,12.72,12.72,1,SET OF 3 PINK FLYING DUCKS,12.72,0.0,7.0,365.0,2.5440000000000005,120.0,120.0,Slow Mover
35004s,1.0,0.0,1,1,13.0,13.0,1,SET OF 3 SILVER FLYING DUCKS,13.0,0.0,7.0,365.0,2.6,118.0,118.0,Slow Mover
35051B,7.0,1.4142135623730951,8,14,2.94,5.88,2,PINK BEADED CONE CHRISTMAS,0.42,6.0,55.0,2555.0,0.084,1744.0,249.0,Medium Mover
35085E,4.333333333333333,2.0615528128088303,6,39,4.916666666666667,44.25,9,IVORY ROSE LAMPSHADE ,1.25,9.0,39.0,1582.0,0.25,795.0,183.0,Slow Mover
35095A,13.108695652173912,43.37675464510609,363,1809,5.25768115942029,725.5600000000001,138,BLUE VICTORIAN FABRIC OVAL BOX,0.42,189.0,281.0,4785.0,0.084,2387.0,182.0,Medium Mover
35095B,13.27891156462585,43.11052732141513,363,1952,5.215238095238095,766.64,147,RED VICTORIAN FABRIC OVAL BOX,0.42,188.0,281.0,4847.0,0.084,2402.0,181.0,Medium Mover
35096A,21.857142857142858,89.96147634899482,537,765,7.784285714285714,272.45,35,BLUE VICTORIAN FABRIC HEART BOX,0.42,393.0,546.0,7978.0,0.084,3082.0,141.0,Fast Mover
35096B,13.952380952380953,29.818578420971363,141,293,5.070952380952382,106.49000000000001,21,RED VICTORIAN FABRIC HEART BOX,0.86,130.0,228.0,5093.0,0.17200000000000001,1721.0,123.0,Medium Mover
